                           Apparent Places of JUPITER 
            Date              Time         RA             Dec         Dist
  Julian Date   Year Mon Da  h  m  s    h  m   s        ø  '   "       AU
 2452266.50000  2001 Dec 23  0 00 00    6 51 37.223  + 22 53 23.50   4.1976899
 2452267.50000  2001 Dec 24  0 00 00    6 51 03.071  + 22 54 13.85   4.1953126
 2452268.50000  2001 Dec 25  0 00 00    6 50 28.705  + 22 55 04.00   4.1932482
 2452269.50000  2001 Dec 26  0 00 00    6 49 54.150  + 22 55 53.91   4.1914976
 2452270.50000  2001 Dec 27  0 00 00    6 49 19.434  + 22 56 43.53   4.1900615
 2452271.50000  2001 Dec 28  0 00 00    6 48 44.584  + 22 57 32.85   4.1889405
 2452272.50000  2001 Dec 29  0 00 00    6 48 09.625  + 22 58 21.83   4.1881350
 2452273.50000  2001 Dec 30  0 00 00    6 47 34.583  + 22 59 10.43   4.1876455
 2452274.50000  2001 Dec 31  0 00 00    6 46 59.481  + 22 59 58.64   4.1874723
 2452275.50000  2002 Jan  1  0 00 00    6 46 24.342  + 23 00 46.43   4.1876155
